Consultas;R-precision
1;9
2;2
3;5
4;1
5;25
6;6
7;4
8;2
9;2
10;9
11;12
12;0
13;5
14;14
15;21
16;46
17;13
18;9
19;1
20;25
21;5
22;13
23;5
24;1
25;15
26;5
27;2
28;11
29;4
30;4
31;8
32;3
33;28
34;13
35;4
36;1
37;45
38;3
39;52
40;35
41;5
42;10
43;32
44;58
45;5
46;5
47;7
48;8
49;10
50;4
51;73
52;1
53;7
54;24
55;1
56;4
57;26
58;37
59;36
60;2
61;18
62;32
63;4
64;7
65;18
66;12
67;4
68;4
69;2
70;3
71;2
72;6
73;4
74;2
75;8
76;4
77;6
78;13
79;7
80;10
81;5
82;8
83;8
84;5
85;3
86;15
87;7
88;2
89;4
90;14
91;85
92;23
94;6
95;3
96;1
97;3
98;3
99;3
100;3
